"stockid","stocklong","country","region","lme","area","areaid","species","comm_name","msy_source","msy_code","msy_units","msy","year","bbmsy","uumsy","bbmsy_source","uumsy_source","bbmsy_notes","uumsy_notes","catch_type","catch_units","catch"
"DKROCKPCOAST","Darkblotched rockfish Pacific Coast","USA","US West Coast","California Current","Pacific Coast","USA-NMFS-PCOAST","Sebastes crameri","Darkblotched rockfish","Assessment","MSY-MT","MT",674,2014,0.9296875,0.226,"Assessment","Assessment","SSBdivSSBmsy-calc-dimensionless","FdivFmsy-calc-dimensionless","TC","MT",104
"DSOLEGA","Dover sole Gulf of Alaska","USA","US Alaska","Gulf of Alaska","Gulf of Alaska","USA-NMFS-GA","Microstomus pacificus","Dover sole","Estimated from Fox or Schaefer model","MSY-est-MT","MT",3112.016785,2009,2.29161420297154,0.0483221476510067,"Assessment","Assessment","SSBdivSSBmsy-calc-dimensionless","FdivFmsy-calc-dimensionless","TC","MT",469
"DSOLEPCOAST","Dover sole Pacific Coast","USA","US West Coast","California Current","Pacific Coast","USA-NMFS-PCOAST","Microstomus pacificus","Dover sole","Assessment","MSY-MT","MT",34757,2010,3.47908180212941,0.129770992366412,"Assessment","Assessment","SSBdivSSBmsy-calc-dimensionless","ERdivERmsy-calc-dimensionless","TC","MT",11300
"DUSROCKGA","Dusky rockfish Gulf of Alaska","USA","US Alaska","Gulf of Alaska","Gulf of Alaska","USA-NMFS-GA","Sebastes variabilis","Dusky rockfish","Estimated from Fox or Schaefer model","MSY-est-MT","MT",3740.299445,2009,1.93690559035027,0.545977011494253,"Assessment","Assessment","SSBdivSSBmsy-calc-dimensionless","FdivFmsy-calc-dimensionless","TC","MT",3060
"ESOLEHS","English sole Hecate Strait","Canada","Canada West Coast","Gulf of Alaska","Hecate Strait","Canada-DFO-HS","Parophrys vetulus","English sole","Estimated from Fox or Schaefer model","MSY-est-MT","MT",905.2189392,2001,1.27376189745907,0.360804814768723,"Uses model estimated reference point","Uses scaled reference point","TBdivTBmsy-est-dimensionless","ERdivERmsy-est-dimensionless","TL","MT",414
"ESOLEPCOAST","English sole Pacific Coast","USA","US West Coast","California Current","Pacific Coast","USA-NMFS-PCOAST","Parophrys vetulus","English sole","Assessment","MSY-MT","MT",3875,2012,NA,0.0528571428571429,"Assessment","Assessment","SSBdivSSBmsy-calc-dimensionless","FdivFmsy-calc-dimensionless",NA,NA,NA
"EULAPCOASTCCDU","Eulachon Pacific Coast of Canada Central Coast Designatable Unit","Canada","Canada West Coast","Gulf of Alaska","Pacific Coast of Canada Central Coast Designatable Unit","Canada-DFO-PCOASTCCDU","Thaleichthys pacificus","Eulachon","Estimated from Fox or Schaefer model","MSY-est-MT","MT",25.68712928,2007,1.24587733816858,0.131237646246017,"Uses model estimated reference point","Uses scaled reference point","TBdivTBmsy-est-dimensionless","ERdivERmsy-est-dimensionless","TC","MT",4.2
"EULAPCOASTFRDU","Eulachon Pacific Coast of Canada Fraser River Designatable Unit","Canada","Canada West Coast","Gulf of Alaska","Pacific Coast of Canada Fraser River Designatable Unit","Canada-DFO-PCOASTFRDU","Thaleichthys pacificus","Eulachon","Assessment","MSY-MT","MT",112,2012,1.18273299887871,0.00453353895410341,"Uses model estimated reference point","Uses scaled reference point","TBdivTBmsy-est-dimensionless","ERdivERmsy-est-dimensionless","TC","MT",0.1
"EULAPCOASTNSDU","Eulachon Pacific Coast of Canada Nass / Skeena Designatable Unit","Canada","Canada West Coast","Gulf of Alaska","Pacific Coast of Canada Nass / Skeena Designatable Unit","Canada-DFO-PCOASTNSDU","Thaleichthys pacificus","Eulachon","Estimated from Fox or Schaefer model","MSY-est-MT","MT",26.73288203,2009,3.05920428385296,0.000855940900763454,"Uses model estimated reference point","Uses scaled reference point","TBdivTBmsy-est-dimensionless","ERdivERmsy-est-dimensionless","TC","MT",0.07
"FLSOLEBSAI","Flathead sole Bering Sea and Aleutian Islands","USA","US Alaska","East Bering Sea","Bering Sea and Aleutian Islands","USA-NMFS-BSAI","Hippoglossoides elassodon","Flathead sole","Estimated from Fox or Schaefer model","MSY-est-MT","MT",60864.94096,2010,2.10343531265104,0.166374269005848,"Assessment","Assessment","SSBdivSSBmsy-calc-dimensionless","FdivFmsy-calc-dimensionless","TC","MT",20100
"FLSOLEGA","Flathead sole Gulf of Alaska","USA","US Alaska","Gulf of Alaska","Gulf of Alaska","USA-NMFS-GA","Hippoglossoides elassodon","Flathead sole","Estimated from Fox or Schaefer model","MSY-est-MT","MT",8873.396975,2009,2.41800483600967,0.035966735966736,"Assessment","Assessment","SSBdivSSBmsy-calc-dimensionless","FdivFmsy-calc-dimensionless","TC","MT",3660
"FMEG8c9a","Fourspotted megrim ICES 8c-9a","multinational","European Union","Iberian Coastal","ICES 8c-9a","multinational-ICES-VIIIc-IXa","Lepidorhombus boscii","Fourspotted megrim","Estimated from Fox or Schaefer model","MSY-est-MT","MT",2137.941318,2014,1.37608695652174,1.89119170984456,"Assessment","Assessment","SSBdivSSBmgt-calc-dimensionless","FdivFmsy-calc-dimensionless","TC","MT",1940
"GAGGM","Gag Gulf of Mexico","USA","US Southeast and Gulf","Gulf of Mexico","Gulf of Mexico","USA-NMFS-GM","Mycteroperca microlepis","Gag","Estimated from Fox or Schaefer model","MSY-est-MT","MT",1027.192242,2012,0.428187822048044,0.768518518518519,"Assessment","Assessment","SSBdivSSBmsy-calc-dimensionless","FdivFmsy-calc-dimensionless","TC","MT",237
"GAGSATLC","Gag Southern Atlantic coast","USA","US Southeast and Gulf","Southeast U.S. Continental Shelf","Southern Atlantic coast","USA-NMFS-SATLC","Mycteroperca microlepis","Gag","Assessment","MSY-MT","MT",425.5603897,2004,0.928099579625485,1.36271186440678,"Assessment","Assessment","SSBdivSSBmsy-calc-dimensionless","FdivFmsy-calc-dimensionless","TC","MT",525
"GEMFISHNZ","Common gemfish New Zealand","New Zealand","New Zealand","New Zealand Shelf","New Zealand","New Zealand-MFish-NZ","Rexea solandri","Common gemfish","Assessment","MSY-MT","MT",1432.042733,2006,1.63613820697257,0.163836168943765,"Assessment","Assessment","SSBdivSSBmsy-calc-dimensionless","ERdivERmsy-calc-dimensionless","TC","MT",412
"GEMFISHSE","Common gemfish Southeast Australia","Australia","Australia","Southeast Australian Shelf","Southeast Australia","Australia-AFMA-SE","Rexea solandri","Common gemfish","Estimated from Fox or Schaefer model","MSY-est-MT","MT",1996.304542,2007,0.249160913980859,0.221527060682164,"Assessment","Uses scaled reference point","SSBdivSSBmsy-calc-dimensionless","ERdivERmsy-est-dimensionless","TL","MT",102
"GHAL23KLMNO","Greenland halibut Labrador Shelf - Grand Banks","multinational","Canada East Coast","Labrador - Newfoundland","Labrador Shelf - Grand Banks","multinational-NAFO-23KLMNO","Reinhardtius hippoglossoides","Greenland halibut","Estimated from Fox or Schaefer model","MSY-est-MT","MT",35149.15235,2006,0.382088470657457,1.78859615924152,"Uses model estimated reference point","Uses scaled reference point","TBdivTBmsy-est-dimensionless","ERdivERmsy-est-dimensionless","TC","MT",6380
"GHAL4RST","Greenland halibut Gulf of St. Lawrence","Canada","Canada East Coast","Labrador - Newfoundland","Gulf of St. Lawrence","Canada-DFO-4RST","Reinhardtius hippoglossoides","Greenland halibut","Estimated from Fox or Schaefer model","MSY-est-MT","MT",4672.097373,2010,0.256250513741111,3.29928980718788,"Uses model estimated reference point","Uses scaled reference point","TBdivTBmsy-est-dimensionless","ERdivERmsy-est-dimensionless","TL","MT",3950
"GHALNEAR","Greenland halibut North-East Arctic","multinational","Europe non EU","Barents Sea","North-East Arctic","multinational-ICES-I-II","Reinhardtius hippoglossoides","Greenland halibut","Estimated from Fox or Schaefer model","MSY-est-MT","MT",38270.74573,2014,1.85749363271143,0.312712473091212,"Uses model estimated reference point","Uses scaled reference point","TBdivTBmsy-est-dimensionless","ERdivERmsy-est-dimensionless","TC","MT",22200
"GOPHERSPCOAST","Gopher rockfish Southern Pacific Coast","USA","US West Coast","California Current","Southern Pacific Coast","USA-NMFS-SPCOAST","Sebastes carnatus","Gopher rockfish","Assessment","MSY-MT","MT",101,2004,2.6039603960396,0.191,"Assessment","Assessment","TBdivTBmsy-calc-dimensionless","ERdivERmsy-calc-dimensionless","TC","MT",50.3
"GPOCTOGA","Giant Pacific octopus Gulf of Alaska","USA","US Alaska","Gulf of Alaska","Gulf of Alaska","USA-NMFS-GA","Enteroctopus dofleini","Giant pacific octopus","Estimated from Fox or Schaefer model","MSY-est-MT","MT",717.062635,2014,2.37174794345386,0.764394805209749,"Uses model estimated reference point","Uses scaled reference point","TBdivTBmsy-est-dimensionless","ERdivERmsy-est-dimensionless","TC","MT",1300
"GRAMBERGM","Greater amberjack Gulf of Mexico","USA","US Southeast and Gulf","Gulf of Mexico","Gulf of Mexico","USA-NMFS-GM","Seriola dumerili","Greater amberjack","Assessment","MSY-MT","MT",1632.93264,2012,0.473345413972856,1.15909090909091,"Assessment","Assessment","SSBdivSSBmsy-calc-dimensionless","ERdivERmsy-calc-dimensionless","TC","MT",983
"GRAMBERSATLC","Greater amberjack Southern Atlantic coast","USA","US Southeast and Gulf","Southeast U.S. Continental Shelf","Southern Atlantic coast","USA-NMFS-SATLC","Seriola dumerili","Greater amberjack","Assessment","MSY-MT","MT",909.45,2006,1.0979381443299,0.298662775738561,"Assessment","Assessment","SSBdivSSBmsy-calc-dimensionless","ERdivERmsy-calc-dimensionless","TL","MT",278
"GRNSTROCKPCOAST","Greenstriped rockfish Pacific Coast","USA","US West Coast","California Current","Pacific Coast","USA-NMFS-PCOAST","Sebastes elongatus","Greenstriped rockfish","Assessment","MSY-MT","MT",803,2009,2.81510544384502,0.00439882697947214,"Assessment","Assessment","SSBdivSSBmsy-calc-dimensionless","ERdivERmsy-calc-dimensionless","TC","MT",9.2
"GRSHRIMPMEDGSA10","Giant red shrimp South Tyrrhenian Sea","multinational","Mediterranean-Black Sea","Mediterranean Sea","South Tyrrhenian Sea","multinational-GFCM-GSA10","Aristaeomorpha foliacea","Giant red shrimp","Estimated from Fox or Schaefer model","MSY-est-MT","MT",408.2609963,2014,1.01225610663168,1.39692307692308,"Uses model estimated reference point","Assessment","SSBdivSSBmsy-est-dimensionless","FdivFmgt-calc-dimensionless","TC","MT",454
"GRSHRIMPMEDGSA18-19","Giant red shrimp South Adriatic Sea and West Ionian Sea (GSA 18,19)","multinational","Mediterranean-Black Sea","Mediterranean Sea","South Adriatic Sea and West Ionian Sea (GSA 18,19)","multinational-GFCM-GSA18-19","Aristaeomorpha foliacea","Giant red shrimp","Estimated from Fox or Schaefer model","MSY-est-MT","MT",860.4010046,2014,1.8189150352736,1.10238095238095,"Uses model estimated reference point","Assessment","SSBdivSSBmsy-est-dimensionless","FdivFmgt-calc-dimensionless","TC","MT",328
"GRSHRIMPMEDGSA9","Giant red shrimp Ligurian and North Tyrrhenian Sea","multinational","Mediterranean-Black Sea","Mediterranean Sea","Ligurian and North Tyrrhenian Sea","multinational-GFCM-GSA9","Aristaeomorpha foliacea","Giant red shrimp","Estimated from Fox or Schaefer model","MSY-est-MT","MT",66.16636688,2014,1.33482702206354,0.26078431372549,"Uses model estimated reference point","Assessment","SSBdivSSBmsy-est-dimensionless","FdivFmgt-calc-dimensionless","TC","MT",16.8
"GRSPROCKNCAL","Greenspotted rockfish Northern Pacific Coast","USA","US West Coast","California Current","Northern Pacific Coast","USA-NMFS-NPCOAST","Sebastes chlorostictus","Greenspotted rockfish","Assessment","MSY-MT","MT",58.8,2010,1.21641791044776,0,"Assessment","Assessment","SSBdivSSBmsy-calc-dimensionless","ERdivERmsy-calc-dimensionless","TC","MT",0.4
"GRSPROCKSCAL","Greenspotted rockfish Southern Pacific Coast","USA","US West Coast","California Current","Southern Pacific Coast","USA-NMFS-SPCOAST","Sebastes chlorostictus","Greenspotted rockfish","Assessment","MSY-MT","MT",55.9,2010,1.59444444444444,0.116666666666667,"Assessment","Assessment","SSBdivSSBmsy-calc-dimensionless","ERdivERmsy-calc-dimensionless","TC","MT",11.3
"GSTRGZRSTA7","Giant stargazer NZ Area STA7","New Zealand","New Zealand","New Zealand Shelf","NZ Area STA7","New Zealand-MFish-STA7","Kathetostoma giganteum","Giant stargazer","Assessment","MSY-MT","MT",608,2007,1.43,1.09773552219206,"Assessment","Assessment","SSBdivSSBmsy-dimensionless","ERdivERmsy-calc-dimensionless","TC","MT",958
"GTRIGGM","Gray triggerfish Gulf of Mexico","USA","US Southeast and Gulf","Gulf of Mexico","Gulf of Mexico","USA-NMFS-GM","Balistes capriscus","Gray triggerfish","Assessment","MSY-MT","MT",446.5205007,2013,0.544144144144144,0.69281045751634,"Assessment","Assessment","SSBdivSSBmsy-calc-dimensionless","FdivFmsy-calc-dimensionless","TC","MT",757
"HAD3LNO","Haddock Grand Banks","multinational","Canada East Coast","Labrador - Newfoundland","Grand Banks","multinational-NAFO-3LNO","Melanogrammus aeglefinus","Haddock","Estimated from Fox or Schaefer model","MSY-est-MT","MT",2925.90428,2013,2.14921623364609,0.00333948170207409,"Uses model estimated reference point","Uses scaled reference point","TBdivTBmsy-est-dimensionless","ERdivERmsy-est-dimensionless","TC","MT",224
"HAD4X5Y","Haddock Western Scotian Shelf, Bay of Fundy and Gulf of Maine","Canada","Canada East Coast","Northeast U.S. Continental Shelf","Western Scotian Shelf, Bay of Fundy and Gulf of Maine","Canada-DFO-4X5Y","Melanogrammus aeglefinus","Haddock","Estimated from Fox or Schaefer model","MSY-est-MT","MT",17344.10318,2013,NA,0.262987645587086,"Assessment","Uses scaled reference point","SSBdivSSBmsy-calc-dimensionless","ERdivERmsy-est-dimensionless","TC","MT",3520
"HAD5Y","Haddock Gulf of Maine","USA","US East Coast","Northeast U.S. Continental Shelf","Gulf of Maine","USA-NMFS-5Y","Melanogrammus aeglefinus","Haddock","Assessment","MSY-MT","MT",1083,2014,2.22799048237076,0.549145299145299,"Assessment","Assessment","SSBdivSSBmsy-calc-dimensionless","FdivFmsy-calc-dimensionless","TC","MT",1020
"HADFAPL","Haddock Faroe Plateau","multinational","Europe non EU","Faroe Plateau","Faroe Plateau","multinational-ICES-Vb1","Melanogrammus aeglefinus","Haddock","Assessment","MSY-MT","MT",35000,2014,0.481547957798888,2.15151515151515,"Assessment","Assessment","SSBdivSSBmgt-calc-dimensionless","FdivFmsy-calc-dimensionless","TC","MT",3250
"HADGB","Haddock Georges Bank","USA","US East Coast","Northeast U.S. Continental Shelf","Georges Bank","USA-NMFS-GB","Melanogrammus aeglefinus","Haddock","Assessment","MSY-MT","MT",24900,2014,1.38504155124654,0.615384615384615,"Assessment","Assessment","SSBdivSSBmsy-calc-dimensionless","FdivFmsy-calc-dimensionless","TC","MT",18600
"HADICE","Haddock Iceland Grounds","multinational","Europe non EU","Iceland Shelf and Sea","Iceland Grounds","multinational-ICES-Va","Melanogrammus aeglefinus","Haddock","Estimated from Fox or Schaefer model","MSY-est-MT","MT",84928.19168,2014,1.67777777777778,0.6725,"Assessment","Assessment","SSBdivSSBmgt-calc-dimensionless","FdivFmgt-calc-dimensionless","TC","MT",33900
"HADNEAR","Haddock North-East Arctic","multinational","Europe non EU","Barents Sea","North-East Arctic","multinational-ICES-I-II","Melanogrammus aeglefinus","Haddock","Estimated from Fox or Schaefer model","MSY-est-MT","MT",215805.8509,2014,8.45,0.428571428571429,"Assessment","Assessment","SSBdivSSBmgt-calc-dimensionless","FdivFmsy-calc-dimensionless","TC","MT",178000
"HADROCK","Haddock Rockall Bank","multinational","European Union","Celtic-Biscay Shelf","Rockall Bank","multinational-ICES-VIb","Melanogrammus aeglefinus","Haddock","Assessment","MSY-MT","MT",9000,2014,0.256862745098039,3.18,"Assessment","Assessment","SSBdivSSBmgt-calc-dimensionless","FdivFmsy-calc-dimensionless","TC","MT",1950
"HADVIIb-k","Haddock ICES 7b-k","multinational","European Union","Celtic-Biscay Shelf","ICES 7b-k","multinational-ICES-VIIb-k","Melanogrammus aeglefinus","Haddock","Estimated from Fox or Schaefer model","MSY-est-MT","MT",20136.57983,2014,2.49,1.325,"Assessment","Assessment","SSBdivSSBmgt-calc-dimensionless","FdivFmsy-calc-dimensionless","TC","MT",13000
"HAKEMEDGSA1-7","Hake Geographical Sub-Areas 1-7","multinational","Mediterranean-Black Sea","Mediterranean Sea","Geographical Sub-Areas 1-7","multinational-GFCM-GSA1-7","Merluccius merluccius","Hake","Estimated from Fox or Schaefer model","MSY-est-MT","MT",7562.576858,2014,1.39252419854916,2.87179487179487,"Uses model estimated reference point","Assessment","SSBdivSSBmsy-est-dimensionless","FdivFmgt-calc-dimensionless","TC","MT",4720
"HAKEMEDGSA19","Hake Western Ionian Sea","multinational","Mediterranean-Black Sea","Mediterranean Sea","Western Ionian Sea","multinational-GFCM-GSA19","Merluccius merluccius","Hake","Estimated from Fox or Schaefer model","MSY-est-MT","MT",1092.765948,2014,1.79754263974402,4.86111111111111,"Uses model estimated reference point","Assessment","SSBdivSSBmsy-est-dimensionless","FdivFmgt-calc-dimensionless","TC","MT",759
"HAKEMEDGSA7","Hake Gulf of Lions","multinational","Mediterranean-Black Sea","Mediterranean Sea","Gulf of Lions","multinational-GFCM-GSA7","Merluccius merluccius","Hake","Estimated from Fox or Schaefer model","MSY-est-MT","MT",2271.695574,2012,0.265026476406115,16.7272727272727,"Uses model estimated reference point","Assessment","SSBdivSSBmsy-est-dimensionless","FdivFmgt-calc-dimensionless","TL","MT",1110
"HAKEMEDGSA9-11","Hake Geographical Sub-Areas 9-11","multinational","Mediterranean-Black Sea","Mediterranean Sea","Geographical Sub-Areas 9-11","multinational-GFCM-GSA9-11","Merluccius merluccius","Hake","Estimated from Fox or Schaefer model","MSY-est-MT","MT",3383.789015,2014,1.07237354612878,5.25,"Uses model estimated reference point","Assessment","SSBdivSSBmsy-est-dimensionless","FdivFmgt-calc-dimensionless","TC","MT",3070
"HAKENRTN","Hake ICES 3a-4-6-7-8abd","multinational","European Union","Celtic-Biscay Shelf","ICES 3a-4-6-7-8abd","multinational-ICES-IIIa-IV-VI-VII-VIIIabd","Merluccius merluccius","Hake","Estimated from Fox or Schaefer model","MSY-est-MT","MT",106752.4857,2014,6.02222222222222,0.821428571428571,"Assessment","Assessment","SSBdivSSBmgt-calc-dimensionless","FdivFmsy-calc-dimensionless","TC","MT",97000
"HAKESOTH","Hake ICES 8c-9a","multinational","European Union","Iberian Coastal","ICES 8c-9a","multinational-ICES-VIIIc-IXa","Merluccius merluccius","Hake","Estimated from Fox or Schaefer model","MSY-est-MT","MT",17849.16345,2014,1.54954954954955,3.136,"Assessment","Assessment","SSBdivSSBmgt-calc-dimensionless","FdivFmsy-calc-dimensionless","TC","MT",14500
"HERR4RFA","Herring NAFO division 4R (Fall spawners)","Canada","Canada East Coast","Labrador - Newfoundland","NAFO division 4R (Fall spawners)","Canada-DFO-4RFS","Clupea harengus","Herring","Estimated from Fox or Schaefer model","MSY-est-MT","MT",8808.330395,2002,1.51312964868069,0.337546101234243,"Uses model estimated reference point","Uses scaled reference point","SSBdivSSBmsy-est-dimensionless","ERdivERmsy-est-dimensionless","TL","MT",4498.863677
"HERR4RSP","Herring NAFO division 4R (Spring spawners)","Canada","Canada East Coast","Labrador - Newfoundland","NAFO division 4R (Spring spawners)","Canada-DFO-4RSS","Clupea harengus","Herring","Estimated from Fox or Schaefer model","MSY-est-MT","MT",12170.53205,2002,0.822305193956309,0.792004718824282,"Uses model estimated reference point","Uses scaled reference point","TBdivTBmsy-est-dimensionless","ERdivERmsy-est-dimensionless","TL","MT",7926.297464
"HERR4TFA","Herring Southern Gulf of St. Lawrence (Fall spawners)","Canada","Canada East Coast","Scotian Shelf","Southern Gulf of St. Lawrence (Fall spawners)","Canada-DFO-4TFS","Clupea harengus","Herring","Estimated from Fox or Schaefer model","MSY-est-MT","MT",69893.64993,2013,0.9062881639875,0.543068251268441,"Uses model estimated reference point","Uses scaled reference point","SSBdivSSBmsy-est-dimensionless","ERdivERmsy-est-dimensionless","TC","MT",34400
"HERR4TSP","Herring Southern Gulf of St. Lawrence (Spring spawners)","Canada","Canada East Coast","Scotian Shelf","Southern Gulf of St. Lawrence (Spring spawners)","Canada-DFO-4TSS","Clupea harengus","Herring","Estimated from Fox or Schaefer model","MSY-est-MT","MT",20399.80111,2013,0.377354109133747,0.22083805044873,"Uses model estimated reference point","Uses scaled reference point","SSBdivSSBmsy-est-dimensionless","ERdivERmsy-est-dimensionless","TC","MT",1700
"HERR4VWX","Herring Scotian Shelf and Bay of Fundy","Canada","Canada East Coast","Scotian Shelf","Scotian Shelf and Bay of Fundy","Canada-DFO-4VWX","Clupea harengus","Herring","Estimated from Fox or Schaefer model","MSY-est-MT","MT",131890.0602,2012,1.97846096679375,0.256967666183451,"Uses model estimated reference point","Uses scaled reference point","SSBdivSSBmsy-est-dimensionless","ERdivERmsy-est-dimensionless","TL","MT",47600
"HERRCC","Pacific herring Central Coast","Canada","Canada West Coast","Gulf of Alaska","Central Coast","Canada-DFO-CC","Clupea pallasii pallasii","Pacific herring","Estimated from Fox or Schaefer model","MSY-est-MT","MT",12613.79719,2014,0.802929796281327,0.0554285705479931,"Uses converted reference point","Uses scaled reference point","SSBdivSSBmsy-conv-dimensionless","ERdivERmsy-est-dimensionless","TC","MT",687
"HERRIsum","Herring Iceland (Summer spawners)","multinational","Europe non EU","Iceland Shelf and Sea","Iceland (Summer spawners)","multinational-ICES-VaSS","Clupea harengus","Herring","Estimated from Fox or Schaefer model","MSY-est-MT","MT",107089.3369,2014,1.54212454212454,1.25909090909091,"Assessment","Assessment","SSBdivSSBmgt-calc-dimensionless","FdivFmsy-calc-dimensionless","TC","MT",95000
"HERRNIRS","Herring Irish Sea","multinational","European Union","Celtic-Biscay Shelf","Irish Sea","multinational-ICES-VIIa","Clupea harengus","Herring","Estimated from Fox or Schaefer model","MSY-est-MT","MT",19292.24497,2014,2.05392612627842,0.639097744360902,"Assessment","Assessment","SSBdivSSBmgt-calc-dimensionless","FdivFmsy-calc-dimensionless","TC","MT",5200
"HERRNS-IIIa-VIId","Herring ICES 3a-4-7d","multinational","European Union","North Sea","ICES 3a-4-7d","multinational-ICES-IIIa-IV-VIId","Clupea harengus","Herring","Estimated from Fox or Schaefer model","MSY-est-MT","MT",583070.9329,2014,1.60714285714286,0.738461538461539,"Assessment","Assessment","SSBdivSSBmgt-calc-dimensionless","FdivFmsy-calc-dimensionless","TC","MT",517000
"HERRNWATLC","Herring Northwestern Atlantic Coast","USA","US East Coast","Northeast U.S. Continental Shelf","Northwestern Atlantic Coast","USA-NMFS-NWATLC","Clupea harengus","Herring","Assessment","MSY-MT","MT",77247,2014,2.00228189429366,0.666666666666667,"Assessment","Assessment","SSBdivSSBmsy-calc-dimensionless","FdivFmsy-calc-dimensionless","TC","MT",95300
"HERRPRD","Pacific herring Prince Rupert District","Canada","Canada West Coast","Gulf of Alaska","Prince Rupert District","Canada-DFO-PRD","Clupea pallasii pallasii","Pacific herring","Estimated from Fox or Schaefer model","MSY-est-MT","MT",14106.65949,2014,0.737138146681933,0.563916014216319,"Uses converted reference point","Uses scaled reference point","SSBdivSSBmsy-conv-dimensionless","ERdivERmsy-est-dimensionless","TC","MT",2000
"HERRPWS","Pacific herring Prince William Sound","USA","US Alaska","Gulf of Alaska","Prince William Sound","USA-AKSTATE-PWS","Clupea pallasii pallasii","Pacific herring","Estimated from Fox or Schaefer model","MSY-est-MT","MT",7111.250341,2006,0.213760007741226,0,"Uses model estimated reference point","Uses scaled reference point","TBdivTBmsy-est-dimensionless","ERdivERmsy-est-dimensionless","TL","MT",0
"HERRQCI","Pacific herring Queen Charlotte Islands","Canada","Canada West Coast","Gulf of Alaska","Queen Charlotte Islands","Canada-DFO-QCI","Clupea pallasii pallasii","Pacific herring","Estimated from Fox or Schaefer model","MSY-est-MT","MT",9126.319991,2014,1.4117540762046,0,"Uses converted reference point","Uses scaled reference point","SSBdivSSBmsy-conv-dimensionless","ERdivERmsy-est-dimensionless","TC","MT",0
"HERRRIGA","Herring Gulf of Riga East of Gotland","multinational","European Union","Baltic Sea","Gulf of Riga East of Gotland","multinational-ICES-28","Clupea harengus","Herring","Estimated from Fox or Schaefer model","MSY-est-MT","MT",28735.84159,2014,2.15,0.81875,"Assessment","Assessment","SSBdivSSBmgt-calc-dimensionless","FdivFmsy-calc-dimensionless","TC","MT",26300
"HERRSIRS","Herring ICES 7a-g-h-j","multinational","European Union","Celtic-Biscay Shelf","ICES 7a-g-h-j","multinational-ICES-VIIa-g-h-j","Clupea harengus","Herring","Estimated from Fox or Schaefer model","MSY-est-MT","MT",23196.12506,2014,1.55081967213115,0.9,"Assessment","Assessment","SSBdivSSBmgt-calc-dimensionless","FdivFmsy-calc-dimensionless","TC","MT",19600
"HERRSOG","Pacific herring Strait of Georgia","Canada","Canada West Coast","Gulf of Alaska","Strait of Georgia","Canada-DFO-SOG","Clupea pallasii pallasii","Pacific herring","Estimated from Fox or Schaefer model","MSY-est-MT","MT",29941.91169,2014,1.39051239942549,0.452182871296819,"Uses converted reference point","Uses scaled reference point","SSBdivSSBmsy-conv-dimensionless","ERdivERmsy-est-dimensionless","TC","MT",20300
"HERRTOG","Pacific herring Togiak District","USA","US Alaska","East Bering Sea","Togiak District","USA-AKSTATE-TOG","Clupea pallasii pallasii","Pacific herring","Estimated from Fox or Schaefer model","MSY-est-MT","MT",42397.48641,2010,1.95852688151273,0.288306543662388,"Uses model estimated reference point","Uses scaled reference point","TBdivTBmsy-est-dimensionless","ERdivERmsy-est-dimensionless","TC","MT",23900
"HERRVIa","Herring West of Scotland","multinational","European Union","Celtic-Biscay Shelf","West of Scotland","multinational-ICES-VIa","Clupea harengus","Herring","Estimated from Fox or Schaefer model","MSY-est-MT","MT",91953.12976,2013,1.05066666666667,1.34,"Assessment","Assessment","SSBdivSSBmgt-calc-dimensionless","FdivFmgt-calc-dimensionless","TL","MT",23000
"HERRVIaVIIbc","Herring ICES 5a-7bc","multinational","European Union","Celtic-Biscay Shelf","ICES 5a-7bc","multinational-ICES-VIa-VIIb-VIIc","Clupea harengus","Herring","Estimated from Fox or Schaefer model","MSY-est-MT","MT",63751.55866,2014,0.414634146341463,0.775,"Assessment","Assessment","SSBdivSSBmgt-calc-dimensionless","FdivFmsy-calc-dimensionless","TC","MT",27100
"HERRWCVANI","Pacific herring West Coast of Vancouver Island","Canada","Canada West Coast","Gulf of Alaska","West Coast of Vancouver Island","Canada-DFO-WCVANI","Clupea pallasii pallasii","Pacific herring","Estimated from Fox or Schaefer model","MSY-est-MT","MT",12522.99864,2014,0.539159758732278,0,"Uses converted reference point","Uses scaled reference point","SSBdivSSBmsy-conv-dimensionless","ERdivERmsy-est-dimensionless","TC","MT",0
"HMACKIIa-IVa-Vb-VIa-VII-VIII","Horse mackerel ICES 2a-4a-5b-6a-7-8","multinational","European Union","North Sea","ICES 2a-4a-5b-6a-7-8","multinational-ICES-IIa-IVa-Vb-VIa-VII-VIII","Trachurus trachurus","Horse mackerel","Estimated from Fox or Schaefer model","MSY-est-MT","MT",277614.1016,2014,1.05201033800357,1.0462962962963,"Assessment","Assessment","SSBdivSSBmgt-calc-dimensionless","FdivFmsy-calc-dimensionless","TC","MT",136000
"HMACKIXa","Horse mackerel Portugese Waters -East","multinational","European Union","Iberian Coastal","Portugese Waters -East","multinational-ICES-IXa","Trachurus trachurus","Horse mackerel","Estimated from Fox or Schaefer model","MSY-est-MT","MT",49332.49737,2014,2.90055248618785,0.422727272727273,"Assessment","Assessment","SSBdivSSBmgt-calc-dimensionless","FdivFmsy-calc-dimensionless","TC","MT",29000
