"source","stockid","lme","comm_name","species","year","msy_mt","bbmsy","uumsy"
"SAUP","Arabian Sea-Pristipomoides filamentosus","Arabian Sea","Crimson jobfish","Pristipomoides filamentosus",2014,4638.2308869793,1.93639429824153,0.498274054123914
"SAUP","Arabian Sea-Psettodes erumei","Arabian Sea","Indian halibut","Psettodes erumei",2014,8602.26999540878,1.5555984756789,0.537810334892657
"SAUP","Arabian Sea-Rachycentron canadum","Arabian Sea","Cobia","Rachycentron canadum",2014,11824.7401169865,1.9353162208662,0.315967060043217
"SAUP","Arabian Sea-Rastrelliger kanagurta","Arabian Sea","Indian mackerel","Rastrelliger kanagurta",2014,217608.56587125,1.6004910447643,0.525746653749015
"SAUP","Arabian Sea-Rhynchobatus djiddensis","Arabian Sea","Giant guitarfish","Rhynchobatus djiddensis",2014,1884.12453292357,0.966273881089064,1.03957676116479
"SAUP","Arabian Sea-Sardinella gibbosa","Arabian Sea","Goldstripe sardinella","Sardinella gibbosa",2014,7688.24931552942,1.35646498997622,0.64945943332843
"SAUP","Arabian Sea-Sardinella longiceps","Arabian Sea","Indian oil sardine","Sardinella longiceps",2014,855386.235082755,1.89507076964966,0.321166111952573
"SAUP","Arabian Sea-Saurida tumbil","Arabian Sea","Greater lizardfish","Saurida tumbil",2014,13683.1616984347,1.70759547246923,0.459439278474939
"SAUP","Arabian Sea-Scomberoides commersonnianus","Arabian Sea","Talang queenfish","Scomberoides commersonnianus",2014,42596.4505028814,1.84515691263176,0.389591944042565
"SAUP","Arabian Sea-Scomberoides lysan","Arabian Sea","Doublespotted queenfish","Scomberoides lysan",2014,18666.5332709157,1.76122518063359,0.419712820715457
"SAUP","Arabian Sea-Scomberomorus commerson","Arabian Sea","Narrowbarred Spanish mackerel","Scomberomorus commerson",2014,237535.396638651,1.89688277563917,0.338715620279026
"SAUP","Arabian Sea-Scomberomorus guttatus","Arabian Sea","Indo-Pacific king mackerel","Scomberomorus guttatus",2014,58851.7245638841,1.86399901765657,0.36553686315218
"SAUP","Arabian Sea-Sillago sihama","Arabian Sea","Silver sillago","Sillago sihama",2014,6243.38185467977,1.15299015523411,0.639886503789818
"SAUP","Arabian Sea-Sphyraena barracuda","Arabian Sea","Great barracuda","Sphyraena barracuda",2014,33165.2763994654,1.78765685184142,0.463868764172311
"SAUP","Arabian Sea-Sphyrna mokarran","Arabian Sea","Great hammerhead","Sphyrna mokarran",2014,823.778511820284,1.26565714881059,1.14663999816788
"SAUP","Arabian Sea-Tenualosa ilisha","Arabian Sea","Hilsa shad","Tenualosa ilisha",2014,NA,NA,NA
"SAUP","Arabian Sea-Thunnus alalunga","Arabian Sea","Albacore","Thunnus alalunga",2014,31.0319643759894,0.377765572241296,0.000767245464447514
"SAUP","Arabian Sea-Thunnus albacares","Arabian Sea","Yellowfin tuna","Thunnus albacares",2014,160770.643369045,1.80687695731122,0.407526358556812
"SAUP","Arabian Sea-Thunnus obesus","Arabian Sea","Bigeye tuna","Thunnus obesus",2014,14264.9263422181,0.883508396759204,0.0113516013622581
"SAUP","Arabian Sea-Thunnus tonggol","Arabian Sea","Longtail tuna","Thunnus tonggol",2014,38738.7319932218,1.80984713072851,0.526021238438702
"SAUP","Arabian Sea-Trichiurus lepturus","Arabian Sea","Largehead hairtail","Trichiurus lepturus",2014,62913.3837115224,1.72161063212244,0.396588601717299
"SAUP","Arabian Sea-Xiphias gladius","Arabian Sea","Swordfish","Xiphias gladius",2014,3303.47808509842,1.23669289786902,0.495141929344683
"SAUP","Baltic Sea-Anguilla anguilla","Baltic Sea","European eel","Anguilla anguilla",2014,2603.53330379971,0.905304517869094,0.274815596189638
"SAUP","Baltic Sea-Belone belone","Baltic Sea","Garfish","Belone belone",2014,1663.52041686296,1.34807470989529,0.574464670929329
"SAUP","Baltic Sea-Clupea harengus","Baltic Sea","Atlantic herring","Clupea harengus",2014,402255.509500067,1.64214014527189,0.506091697172503
"SAUP","Baltic Sea-Coregonus albula","Baltic Sea","Vendace","Coregonus albula",2014,3117.89365790722,1.92318253649343,0.443251434685245
"SAUP","Baltic Sea-Esox lucius","Baltic Sea","Northern pike","Esox lucius",2014,4633.4357217306,1.21499429812687,0.525920641643942
"SAUP","Baltic Sea-Gadus morhua","Baltic Sea","Atlantic cod","Gadus morhua",2014,73114.6384628026,1.04588672266198,0.563988542579471
"SAUP","Baltic Sea-Gasterosteus aculeatus","Baltic Sea","Three-spined stickleback","Gasterosteus aculeatus",2014,NA,NA,NA
"SAUP","Baltic Sea-Limanda limanda","Baltic Sea","Common dab","Limanda limanda",2014,1643.26860568144,1.01364791368519,0.76926890373306
"SAUP","Baltic Sea-Lota lota","Baltic Sea","Burbot","Lota lota",2014,449.95965018126,0.825323837306567,0.497996158914793
"SAUP","Baltic Sea-Merlangius merlangus","Baltic Sea","Whiting","Merlangius merlangus",2014,1219.0243204291,0.841344924179451,0.886632976544092
"SAUP","Baltic Sea-Mytilus edulis","Baltic Sea","Blue mussel","Mytilus edulis",2014,11295.0270862122,1.08051523235102,1.06023020025419
"SAUP","Baltic Sea-Osmerus eperlanus","Baltic Sea","European smelt","Osmerus eperlanus",2014,3360.01000128579,1.42692897494223,0.82834521379191
"SAUP","Baltic Sea-Perca fluviatilis","Baltic Sea","European perch","Perca fluviatilis",2014,9047.07377229392,1.63947771359752,0.530517614365767
"SAUP","Baltic Sea-Platichthys flesus","Baltic Sea","European flounder","Platichthys flesus",2014,42430.1015075465,1.81882168293257,0.443568752737722
"SAUP","Baltic Sea-Pleuronectes platessa","Baltic Sea","European plaice","Pleuronectes platessa",2014,2830.41567860938,0.90309815159309,0.979653094370719
"SAUP","Baltic Sea-Rutilus rutilus","Baltic Sea","Roach","Rutilus rutilus",2014,5029.39589010401,1.76562395878094,0.471350379368905
"SAUP","Baltic Sea-Salmo salar","Baltic Sea","Atlantic salmon","Salmo salar",2014,2010.13131172121,0.75973194603465,0.602202160372973
"SAUP","Baltic Sea-Salmo trutta","Baltic Sea","Sea trout","Salmo trutta",2014,1742.00207080469,1.67651299086268,0.571236913711171
"SAUP","Baltic Sea-Sander lucioperca","Baltic Sea","Pike-perch","Sander lucioperca",2014,3446.61543603702,1.82702459766037,0.436562230472398
"SAUP","Baltic Sea-Scomber scombrus","Baltic Sea","Atlantic mackerel","Scomber scombrus",2014,102.908440961752,0.334197603667231,0.370576756607581
"SAUP","Baltic Sea-Sprattus sprattus","Baltic Sea","European sprat","Sprattus sprattus",2014,29814.9643077938,0.717548508440711,1.92984755229409
"SAUP","Baltic Sea-Zoarces viviparus","Baltic Sea","Eelpout","Zoarces viviparus",2014,548.079353548628,0.802402086075439,0.128014576201291
"SAUP","Barents Sea-Anarhichas denticulatus","Barents Sea","Northern wolffish","Anarhichas denticulatus",2014,3202.93097856151,1.92784955239737,1.23796605636153
"SAUP","Barents Sea-Anarhichas lupus","Barents Sea","Atlantic wolffish","Anarhichas lupus",2014,11410.8336889492,0.720636342553839,0.27292549748398
"SAUP","Barents Sea-Anarhichas minor","Barents Sea","Spotted wolffish","Anarhichas minor",2014,1842.5915733701,1.56921975010477,1.22461452026295
"SAUP","Barents Sea-Boreogadus saida","Barents Sea","Polar cod","Boreogadus saida",2014,17581.4619056231,0.595072035586495,0.110855522006782
"SAUP","Barents Sea-Brosme brosme","Barents Sea","Tusk","Brosme brosme",2014,8096.33078301429,1.06225906605321,0.627294865222037
"SAUP","Barents Sea-Cetorhinus maximus","Barents Sea","Basking shark","Cetorhinus maximus",2014,622.141016292504,0.646753338124917,0
"SAUP","Barents Sea-Clupea harengus","Barents Sea","Atlantic herring","Clupea harengus",2014,252656.692612392,1.00715726307457,0.546723952739576
"SAUP","Barents Sea-Eleginus nawaga","Barents Sea","Navaga","Eleginus nawaga",2014,2745.54886158454,0.822456557106768,0.658736487267575
"SAUP","Barents Sea-Gadus morhua","Barents Sea","Atlantic cod","Gadus morhua",2014,34912.4571420162,0.618244344503384,0
"SAUP","Barents Sea-Glyptocephalus cynoglossus","Barents Sea","Witch flounder","Glyptocephalus cynoglossus",2014,22.5916995031265,0.693647892706917,0
"SAUP","Barents Sea-Hippoglossoides platessoides","Barents Sea","American plaice","Hippoglossoides platessoides",2014,2597.46377748409,0.892145166755443,0.944868662091344
"SAUP","Barents Sea-Hippoglossus hippoglossus","Barents Sea","Atlantic halibut","Hippoglossus hippoglossus",2014,176.630287657703,0.75043001976272,0.0284233251090057
"SAUP","Barents Sea-Lamna nasus","Barents Sea","Porbeagle","Lamna nasus",2014,142.854724885495,0.729136790551876,0.00639358627611673
"SAUP","Barents Sea-Mallotus villosus","Barents Sea","Capelin","Mallotus villosus",2014,32600.7737654209,0.784553390361811,0.845424487683781
"SAUP","Barents Sea-Melanogrammus aeglefinus","Barents Sea","Haddock","Melanogrammus aeglefinus",2014,104077.694549209,0.682418825992196,0
"SAUP","Barents Sea-Micromesistius poutassou","Barents Sea","Blue whiting","Micromesistius poutassou",2014,42623.9387087623,0.663371155051339,0.293031372034356
"SAUP","Barents Sea-Molva molva","Barents Sea","Ling","Molva molva",2014,4139.81938167579,1.54556980007034,0.660679454352245
"SAUP","Barents Sea-Pandalus borealis","Barents Sea","Northern prawn","Pandalus borealis",2014,2323.22132753114,0.572683364743007,0.235109365266755
"SAUP","Barents Sea-Platichthys flesus","Barents Sea","European flounder","Platichthys flesus",2014,376.289093952721,0.625809161643686,0
"SAUP","Barents Sea-Pleuronectes platessa","Barents Sea","European plaice","Pleuronectes platessa",2014,4390.23106879858,1.10903530984849,1.59395322281946
"SAUP","Barents Sea-Pollachius virens","Barents Sea","Saithe","Pollachius virens",2014,3913.91933646593,0.463221102253629,0
"SAUP","Barents Sea-Reinhardtius hippoglossoides","Barents Sea","Greenland halibut","Reinhardtius hippoglossoides",2014,31269.7238159834,NA,NA
"SAUP","Barents Sea-Salmo salar","Barents Sea","Atlantic salmon","Salmo salar",2014,333.264091136446,0.827434418087668,1.24688142174318
"SAUP","Barents Sea-Scomber scombrus","Barents Sea","Atlantic mackerel","Scomber scombrus",2014,63626.3774430022,1.88013444212909,0.628030037774247
"SAUP","Barents Sea-Sebastes mentella","Barents Sea","Beaked redfish","Sebastes mentella",2014,782.787709610145,0.765209061379102,0
"SAUP","Barents Sea-Sebastes norvegicus","Barents Sea","Golden redfish","Sebastes norvegicus",2014,6250.73964899878,1.05172060328411,0.525288684351607
"SAUP","Barents Sea-Squalus acanthias","Barents Sea","Piked dogfish","Squalus acanthias",2014,304.102375378366,0.491783874920939,0.281007679429017
"SAUP","Barents Sea-Thunnus thynnus","Barents Sea","Atlantic bluefin tuna","Thunnus thynnus",2014,43.4846860144375,0.554630956372337,0
"SAUP","Barents Sea-Trisopterus esmarkii","Barents Sea","Norway pout","Trisopterus esmarkii",2014,899.975877443458,0.656591719600866,0
"SAUP","Bay of Bengal-Alopias superciliosus","Bay of Bengal","Bigeye thresher","Alopias superciliosus",2014,1126.1472415124,1.16372027149213,1.03603606265285
"SAUP","Bay of Bengal-Alopias vulpinus","Bay of Bengal","Thresher","Alopias vulpinus",2014,1199.9976979734,1.42443942518478,1.18119285891277
"SAUP","Bay of Bengal-Anodontostoma chacunda","Bay of Bengal","Chacunda gizzard shad","Anodontostoma chacunda",2014,6861.51145620739,1.62113343110383,0.511375760827798
"SAUP","Bay of Bengal-Auxis thazard","Bay of Bengal","Frigate tuna","Auxis thazard",2014,14458.5989593831,1.31605035489895,0.648988355235549
"SAUP","Bay of Bengal-Bregmaceros mcclellandi","Bay of Bengal","Unicorn cod","Bregmaceros mcclellandi",2014,2635.32952641946,1.88602923041771,0.841051198128219
"SAUP","Bay of Bengal-Carcharhinus albimarginatus","Bay of Bengal","Silvertip shark","Carcharhinus albimarginatus",2014,898.065739727943,1.36298339297435,1.00069678868841
"SAUP","Bay of Bengal-Carcharhinus falciformis","Bay of Bengal","Silky shark","Carcharhinus falciformis",2014,3239.01768169154,0.621210985047856,0.561701995292028
"SAUP","Bay of Bengal-Carcharhinus limbatus","Bay of Bengal","Blacktip shark","Carcharhinus limbatus",2014,5398.10955464544,1.44114744767289,0.715632311572419
"SAUP","Bay of Bengal-Carcharhinus longimanus","Bay of Bengal","Oceanic whitetip shark","Carcharhinus longimanus",2014,828.078166611037,1.35519835106281,0.802086378523512
"SAUP","Bay of Bengal-Carcharhinus melanopterus","Bay of Bengal","Blacktip reef shark","Carcharhinus melanopterus",2014,11799.5090752641,1.26784069238936,0.874247980259938
"SAUP","Bay of Bengal-Carcharhinus sorrah","Bay of Bengal","Spottail shark","Carcharhinus sorrah",2014,2827.53893959838,1.21243555555715,1.03006861703511
"SAUP","Bay of Bengal-Cephalopholis boenak","Bay of Bengal","Chocolate hind","Cephalopholis boenak",2014,4669.723292785,1.59993334412573,0.573641604416879
"SAUP","Bay of Bengal-Chirocentrus dorab","Bay of Bengal","Dorab wolfherring","Chirocentrus dorab",2014,14611.154137599,0.889071649313363,0.698658900632115
"SAUP","Bay of Bengal-Chirocentrus nudus","Bay of Bengal","Whitefin wolf-herring","Chirocentrus nudus",2014,3619.7234243111,0.721346026658861,0.232143739614587
"SAUP","Bay of Bengal-Coryphaena hippurus","Bay of Bengal","Common dolphinfish","Coryphaena hippurus",2014,9284.10885509449,1.59737901829638,0.64025902259328
"SAUP","Bay of Bengal-Decapterus russelli","Bay of Bengal","Indian scad","Decapterus russelli",2014,48907.9047606449,1.03795054149282,0.822290631549335
"SAUP","Bay of Bengal-Elagatis bipinnulata","Bay of Bengal","Rainbow runner","Elagatis bipinnulata",2014,709.041583106152,1.50689427067534,1.29670533694474
"SAUP","Bay of Bengal-Euthynnus affinis","Bay of Bengal","Kawakawa","Euthynnus affinis",2014,29877.264589613,1.91461609358937,0.333313614577256
"SAUP","Bay of Bengal-Fenneropenaeus indicus","Bay of Bengal","Indian white prawn","Fenneropenaeus indicus",2014,1724.75548577331,0.824376063331815,2.5431820384542
"SAUP","Bay of Bengal-Fenneropenaeus merguiensis","Bay of Bengal","Banana prawn","Fenneropenaeus merguiensis",2014,29973.8838804566,1.67739986003063,0.471321608134695
"SAUP","Bay of Bengal-Galeocerdo cuvier","Bay of Bengal","Tiger shark","Galeocerdo cuvier",2014,756.9385576928,1.47072609098698,0.8896544720157
"SAUP","Bay of Bengal-Harpadon nehereus","Bay of Bengal","Bombay duck","Harpadon nehereus",2014,168568.492088197,1.75723383199212,0.371841233872353
"SAUP","Bay of Bengal-Ilisha elongata","Bay of Bengal","Elongate ilisha","Ilisha elongata",2014,3279.63027612466,1.63895879790253,0.493146800982231
"SAUP","Bay of Bengal-Istiompax indica","Bay of Bengal","Black marlin","Istiompax indica",2014,5124.90920536687,1.90805198762763,0.635371757047513
"SAUP","Bay of Bengal-Istiophorus platypterus","Bay of Bengal","Indo-Pacific sailfish","Istiophorus platypterus",2014,9196.2739310064,1.92772067787274,0.404003509336729
"SAUP","Bay of Bengal-Kajikia audax","Bay of Bengal","Striped marlin","Kajikia audax",2014,981.374200686341,1.0685040068883,0.586578058092567
"SAUP","Bay of Bengal-Katsuwonus pelamis","Bay of Bengal","Skipjack tuna","Katsuwonus pelamis",2014,19811.1100135791,1.03831118768057,0.791613328098345
"SAUP","Bay of Bengal-Lactarius lactarius","Bay of Bengal","False trevally","Lactarius lactarius",2014,40007.9709512093,1.90435615705129,0.32325118240113
"SAUP","Bay of Bengal-Lates calcarifer","Bay of Bengal","Barramundi","Lates calcarifer",2014,5044.91764750513,1.5098384216396,0.589970816455866
"SAUP","Bay of Bengal-Lutjanus johnii","Bay of Bengal","Johns snapper","Lutjanus johnii",2014,1846.01780151174,1.10222885168127,0.691452012005307
"SAUP","Bay of Bengal-Lutjanus malabaricus","Bay of Bengal","Malabar blood snapper","Lutjanus malabaricus",2014,1800.3983533115,0.670325805870758,0
"SAUP","Bay of Bengal-Megalaspis cordyla","Bay of Bengal","Torpedo scad","Megalaspis cordyla",2014,90933.3627048672,1.72012028025807,0.442112685151425
"SAUP","Bay of Bengal-Melicertus latisulcatus","Bay of Bengal","Western king prawn","Melicertus latisulcatus",2014,10800.1975705672,1.64019422842765,0.538642236678291
"SAUP","Bay of Bengal-Muraenesox cinereus","Bay of Bengal","Daggertooth pike conger","Muraenesox cinereus",2014,1110.95332363411,1.03617907390275,1.02136827943208
"SAUP","Bay of Bengal-Nemipterus japonicus","Bay of Bengal","Japanese threadfin bream","Nemipterus japonicus",2014,10465.0205825841,1.89728720979705,0.325365901107686
"SAUP","Bay of Bengal-Netuma thalassina","Bay of Bengal","Giant catfish","Netuma thalassina",2014,11106.5404015677,1.82525684187021,0.383453141883179
"SAUP","Bay of Bengal-Pampus argenteus","Bay of Bengal","Silver pomfret","Pampus argenteus",2014,93382.723160086,1.66990096910587,0.472973814445822
"SAUP","Bay of Bengal-Parapenaeopsis hardwickii","Bay of Bengal","Spear shrimp","Parapenaeopsis hardwickii",2014,1654.18687332998,0.712828108081199,0.195951109298707
"SAUP","Bay of Bengal-Parapenaeopsis sculptilis","Bay of Bengal","Rainbow shrimp","Parapenaeopsis sculptilis",2014,1024.79003506496,1.17439178572117,1.08737517067786
"SAUP","Bay of Bengal-Parastromateus niger","Bay of Bengal","Black pomfret","Parastromateus niger",2014,30374.2913968159,1.62693546380722,0.499355258605106
"SAUP","Bay of Bengal-Penaeus monodon","Bay of Bengal","Giant tiger prawn","Penaeus monodon",2014,76819.121064711,1.55592481988611,0.648814309111033
"SAUP","Bay of Bengal-Penaeus semisulcatus","Bay of Bengal","Green tiger prawn","Penaeus semisulcatus",2014,2746.40100023686,0.910166388745927,1.91393184759245
"SAUP","Bay of Bengal-Perna viridis","Bay of Bengal","Brown mussel","Perna viridis",2014,307.61317004169,0.860416969797912,0.83522217671291
"SAUP","Bay of Bengal-Portunus pelagicus","Bay of Bengal","Blue swimming crab","Portunus pelagicus",2014,29000.0159634748,1.44099478367984,0.735918952335317
"SAUP","Bay of Bengal-Prionace glauca","Bay of Bengal","Blue shark","Prionace glauca",2014,2976.64223999629,1.18154442446361,0.764977209889789
"SAUP","Bay of Bengal-Psettodes erumei","Bay of Bengal","Indian halibut","Psettodes erumei",2014,5492.88771446021,1.22203502830935,0.679077760660159
"SAUP","Bay of Bengal-Rachycentron canadum","Bay of Bengal","Cobia","Rachycentron canadum",2014,6085.25323413623,1.24558884131124,0.629504995430195
"SAUP","Bay of Bengal-Rastrelliger brachysoma","Bay of Bengal","Short mackerel","Rastrelliger brachysoma",2014,32784.3504799645,1.78658072531859,0.403427200961712
"SAUP","Bay of Bengal-Rastrelliger kanagurta","Bay of Bengal","Indian mackerel","Rastrelliger kanagurta",2014,246834.254122388,1.61181198078923,0.528189715918509
"SAUP","Bay of Bengal-Rhizoprionodon acutus","Bay of Bengal","Milk shark","Rhizoprionodon acutus",2014,730.799474655659,0.673349954007254,0
"SAUP","Bay of Bengal-Sardinella lemuru","Bay of Bengal","Bali sardinella","Sardinella lemuru",2014,11997.7620736965,1.55772804223392,0.553749791181959
"SAUP","Bay of Bengal-Sardinella longiceps","Bay of Bengal","Indian oil sardine","Sardinella longiceps",2014,103977.261998942,1.69760893412498,0.44682744764395
"SAUP","Bay of Bengal-Saurida tumbil","Bay of Bengal","Greater lizardfish","Saurida tumbil",2014,34520.4112853257,1.85837177174948,0.348714746405034
"SAUP","Bay of Bengal-Scomberomorus commerson","Bay of Bengal","Narrowbarred Spanish mackerel","Scomberomorus commerson",2014,49639.5922357219,1.8185834203313,0.369717157365031
"SAUP","Bay of Bengal-Scomberomorus guttatus","Bay of Bengal","Indo-Pacific king mackerel","Scomberomorus guttatus",2014,88487.9678995408,1.92859514623813,0.32523800210855
"SAUP","Bay of Bengal-Scomberomorus lineolatus","Bay of Bengal","Streaked seerfish","Scomberomorus lineolatus",2014,1118.34007448712,0.996081060473367,0.422746565679383
"SAUP","Bay of Bengal-Scylla serrata","Bay of Bengal","Indo-Pacific swamp crab","Scylla serrata",2014,7133.93334534593,1.49364303629297,0.561997499989772
"SAUP","Bay of Bengal-Selaroides leptolepis","Bay of Bengal","Yellowstripe scad","Selaroides leptolepis",2014,NA,NA,NA
"SAUP","Bay of Bengal-Seriolina nigrofasciata","Bay of Bengal","Blackbanded trevally","Seriolina nigrofasciata",2014,5088.1656971247,0.875098624314372,0.567695220463055
"SAUP","Bay of Bengal-Solenocera crassicornis","Bay of Bengal","Coastal mud shrimp","Solenocera crassicornis",2014,257.743316111795,0.495287623700807,0.747095455636867
"SAUP","Bay of Bengal-Sphyrna lewini","Bay of Bengal","Scalloped hammerhead","Sphyrna lewini",2014,1242.67683659884,0.93376612320426,1.53326274082531
"SAUP","Bay of Bengal-Sphyrna zygaena","Bay of Bengal","Smooth hammerhead","Sphyrna zygaena",2014,480.174360665939,1.3069145285744,1.31427954567128
"SAUP","Bay of Bengal-Tegillarca granosa","Bay of Bengal","Granular ark","Tegillarca granosa",2014,11107.460573744,1.04691074552007,0.810393773993382
"SAUP","Bay of Bengal-Tenualosa ilisha","Bay of Bengal","Hilsa shad","Tenualosa ilisha",2014,NA,NA,NA
"SAUP","Bay of Bengal-Thunnus alalunga","Bay of Bengal","Albacore","Thunnus alalunga",2014,181.393798213278,0.836410734322516,0.822424387730797
"SAUP","Bay of Bengal-Thunnus albacares","Bay of Bengal","Yellowfin tuna","Thunnus albacares",2014,32480.1724170085,0.86273340841007,0.458536275855521
"SAUP","Bay of Bengal-Thunnus obesus","Bay of Bengal","Bigeye tuna","Thunnus obesus",2014,5616.70302481836,1.04139482317469,0.65986160545974
"SAUP","Bay of Bengal-Thunnus tonggol","Bay of Bengal","Longtail tuna","Thunnus tonggol",2014,6652.86414757284,0.933773490341979,0.676425429765026
"SAUP","Bay of Bengal-Trichiurus lepturus","Bay of Bengal","Largehead hairtail","Trichiurus lepturus",2014,22821.2226204379,1.39704800681183,0.578363821678031
"SAUP","Bay of Bengal-Upeneus vittatus","Bay of Bengal","Yellowstriped goatfish","Upeneus vittatus",2014,6128.7791277038,1.62995337965272,0.492771579115603
"SAUP","Bay of Bengal-Xiphias gladius","Bay of Bengal","Swordfish","Xiphias gladius",2014,4380.42788822463,1.24354241492936,0.86542910605775
"SAUP","Benguela Current-Aristeus varidens","Benguela Current","Striped red shrimp","Aristeus varidens",2014,1011.7733103037,0.901000875730996,2.74797773385385
"SAUP","Benguela Current-Austroglossus microlepis","Benguela Current","West coast sole","Austroglossus microlepis",2014,819.755500904114,0.846678995982743,0.465525896064442
"SAUP","Benguela Current-Auxis thazard","Benguela Current","Frigate tuna","Auxis thazard",2014,311.602115941818,1.40360978638315,1.65306627148979
"SAUP","Benguela Current-Brachydeuterus auritus","Benguela Current","Bigeye grunt","Brachydeuterus auritus",2014,5816.47747592692,1.00325582416932,0.568271544186324
"SAUP","Benguela Current-Brama brama","Benguela Current","Atlantic pomfret","Brama brama",2014,649.856818776164,0.906283205165052,2.78715437361973
"SAUP","Benguela Current-Caranx hippos","Benguela Current","Crevalle jack","Caranx hippos",2014,1571.64525099832,0.448312042166992,0.0127497209424303
"SAUP","Benguela Current-Chaceon maritae","Benguela Current","West African geryon","Chaceon maritae",2014,3150.66556095453,1.02510002039819,1.29020748503717
"SAUP","Benguela Current-Chelidonichthys capensis","Benguela Current","Cape gurnard","Chelidonichthys capensis",2014,409.829601134848,0.800927341078723,1.15781345876286
"SAUP","Benguela Current-Chloroscombrus chrysurus","Benguela Current","Atlantic bumper","Chloroscombrus chrysurus",2014,179.861869560155,0.501373273642531,0
"SAUP","Benguela Current-Dentex macrophthalmus","Benguela Current","Largeeye dentex","Dentex macrophthalmus",2014,2762.90800156764,0.672875309117042,1.17150332366448
"SAUP","Benguela Current-Emmelichthys nitidus nitidus","Benguela Current","Cape bonnetmouth","Emmelichthys nitidus nitidus",2014,231.628306065697,1.0059634395114,1.20286719793072
"SAUP","Benguela Current-Engraulis capensis","Benguela Current","Southern African anchovy","Engraulis capensis",2014,NA,NA,NA
"SAUP","Benguela Current-Etrumeus whiteheadi","Benguela Current","Whiteheads round herring","Etrumeus whiteheadi",2014,33737.2008078411,1.08531813298752,0.560248359290843
"SAUP","Benguela Current-Euthynnus alletteratus","Benguela Current","Little tunny","Euthynnus alletteratus",2014,2609.2919815462,1.48822930930375,0.51536837197258
"SAUP","Benguela Current-Genypterus capensis","Benguela Current","Kingklip","Genypterus capensis",2014,7908.74231744825,1.10843859724284,0.803266453394951
"SAUP","Benguela Current-Haliotis midae","Benguela Current","Perlemoen abalone","Haliotis midae",2014,373.946007891182,1.06463845231244,1.105362774615
"SAUP","Benguela Current-Helicolenus dactylopterus","Benguela Current","Blackbelly rosefish","Helicolenus dactylopterus",2014,975.904281824269,1.34023508309723,0.62594951625271
"SAUP","Benguela Current-Hoplostethus atlanticus","Benguela Current","Orange roughy","Hoplostethus atlanticus",2014,2713.77841174492,0.801895944872555,0.00865452729089348
"SAUP","Benguela Current-Isurus oxyrinchus","Benguela Current","Shortfin mako","Isurus oxyrinchus",2014,1916.93688736654,1.92092574283524,0.806480568127963
"SAUP","Benguela Current-Jasus lalandii","Benguela Current","Cape rock lobster","Jasus lalandii",2014,686.52582841905,0.673058704848982,0
"SAUP","Benguela Current-Katsuwonus pelamis","Benguela Current","Skipjack tuna","Katsuwonus pelamis",2014,1829.56297802039,0.780190661339068,7.83318798569759
"SAUP","Benguela Current-Lampanyctodes hectoris","Benguela Current","Hectors lanternfish","Lampanyctodes hectoris",2014,NA,NA,NA
"SAUP","Benguela Current-Lepidopus caudatus","Benguela Current","Silver scabbardfish","Lepidopus caudatus",2014,4345.33668012181,0.977678190135486,1.02803519038938
"SAUP","Benguela Current-Lithognathus mormyrus","Benguela Current","Sand steenbras","Lithognathus mormyrus",2014,3101.4759189383,1.2082209621571,0.659671801875024
"SAUP","Benguela Current-Lophius vomerinus","Benguela Current","Devil anglerfish","Lophius vomerinus",2014,45693.0259010797,0.621785131827483,0.807120186070765
"SAUP","Benguela Current-Merluccius capensis","Benguela Current","Shallow-water Cape hake","Merluccius capensis",2014,2534.59469792592,1.94359346804194,2.49924838324245
"SAUP","Benguela Current-Merluccius polli","Benguela Current","Benguela hake","Merluccius polli",2014,952.325725987649,0.605921375531769,0
"SAUP","Benguela Current-Pagellus bellottii","Benguela Current","Red pandora","Pagellus bellottii",2014,383.877399873939,0.620040120004039,0
"SAUP","Benguela Current-Parapenaeus longirostris","Benguela Current","Deepwater rose shrimp","Parapenaeus longirostris",2014,1314.69715435269,0.795110212821019,1.98751328963084
"SAUP","Benguela Current-Pomatomus saltatrix","Benguela Current","Bluefish","Pomatomus saltatrix",2014,346.628896015955,0.763982436244993,1.53405254971895
"SAUP","Benguela Current-Prionace glauca","Benguela Current","Blue shark","Prionace glauca",2014,1782.84768942339,1.29014645527997,2.1183237632428
"SAUP","Benguela Current-Pterogymnus laniarius","Benguela Current","Panga seabream","Pterogymnus laniarius",2014,2796.33592834109,0.808805659710163,0.796782416321118
"SAUP","Benguela Current-Sarda sarda","Benguela Current","Atlantic bonito","Sarda sarda",2014,2797.33678437299,0.964036569459238,0.315270624666649
"SAUP","Benguela Current-Sardinops sagax","Benguela Current","Pacific sardine","Sardinops sagax",2014,189919.942097033,0.457926164697258,0.996434319927955
"SAUP","Benguela Current-Scomberomorus tritor","Benguela Current","West African Spanish mackerel","Scomberomorus tritor",2014,1415.62073215147,1.06190978460238,0.732884626286537
"SAUP","Benguela Current-Spondyliosoma cantharus","Benguela Current","Black seabream","Spondyliosoma cantharus",2014,119.368851986497,0.756284597741184,2.04526651214204
"SAUP","Benguela Current-Stromateus fiatola","Benguela Current","Blue butterfish","Stromateus fiatola",2014,331.73244480076,0.586842452822935,0
"SAUP","Benguela Current-Thunnus alalunga","Benguela Current","Albacore","Thunnus alalunga",2014,9044.21962915078,0.697570918422838,1.15542840644152
