"stockid","stocklong","country","region","lme","area","areaid","species","comm_name","year","msy_mt","bmsy_mt","umsy","bbmsy","uumsy","biomass_mt","catch_mt","er","r_est","k_mt_est","msy_mt_est"
"CMACKTSST","Chub mackerel Tsushima Strait","Japan","Japan","East China Sea","Tsushima Strait","Japan-FAJ-TSST","Scomber japonicus","Chub mackerel",2013,325542.1507,899287.7091,0.362,0.450378848089864,1.07786440852997,428000,167000,0.39018691588785,0.4344,2237715.59230771,325542.1506942
"COBGM","Cobia Gulf of Mexico","USA","US Southeast and Gulf","Gulf of Mexico","Gulf of Mexico","USA-NMFS-GM","Rachycentron canadum","Cobia",2011,1208,3712.68031,0.325371403,1.07021791767554,1.78835978835979,3020,866,0.286754966887417,0.3904456836,9238.3366689792,1208.00000135518
"COBSATLC","Cobia Southern Atlantic coast","USA","US Southeast and Gulf","Southeast U.S. Continental Shelf","Southern Atlantic coast","USA-NMFS-SATLC","Rachycentron canadum","Cobia",2011,366.502336,970.0074999,0.377834538,1.29183587928465,0.422993492407809,1253.09049150725,15.4,0.0122896152387817,0.4534014456,2413.68906215117,366.502335581252
"COD2J3KL","Atlantic cod Southern Labrador-Eastern Newfoundland","Canada","Canada East Coast","Labrador - Newfoundland","Southern Labrador-Eastern Newfoundland","Canada-DFO-2J3KL","Gadus morhua","Atlantic cod",2014,159440.2549,1594402.549,0.1,NA,NA,434000,4649.0965,0.0107122039170507,0.12,3967383.75072768,159440.2549
"COD3M","Atlantic cod Flemish Cap","multinational","Canada East Coast","Labrador - Newfoundland","Flemish Cap","multinational-NAFO-3M","Gadus morhua","Atlantic cod",2011,23378.3564,68651.69688,0.34053574,0.856497401699767,0.693025642477351,58800,13900,0.236394557823129,0.408642888,170827.390380442,23378.3563992865
"COD3NO","Atlantic cod Southern Grand Banks","multinational","Canada East Coast","Labrador - Newfoundland","Southern Grand Banks","multinational-NAFO-3NO","Gadus morhua","Atlantic cod",2011,28973.38497,56164.48243,0.515866678,0.13478268956604,0.209356418248825,7570,819,0.108190224570674,0.6190400136,139755.204920218,28973.3849727535
"COD3Pn4RS","Atlantic cod Northern Gulf of St. Lawrence","Canada","Canada East Coast","Labrador - Newfoundland","Northern Gulf of St. Lawrence","Canada-DFO-3Pn4RS","Gadus morhua","Atlantic cod",2014,96606.69534,711052.2567,0.13586441,0.0447224514096673,0.515219548666203,31800,1240,0.0389937106918239,0.163037292,1769325.55139174,96606.695335714
"COD3Ps","Atlantic cod St. Pierre Bank","Canada","Canada East Coast","Labrador - Newfoundland","St. Pierre Bank","Canada-DFO-3Ps","Gadus morhua","Atlantic cod",2014,33890.47143,51465.14988,0.658513023,1.6,0.230536965709939,27600,4190,0.151811594202899,0.7902156276,128061.761749402,33890.4714266269
"COD4TVn","Atlantic cod Southern Gulf of St. Lawrence","Canada","Canada East Coast","Scotian Shelf","Southern Gulf of St. Lawrence","Canada-DFO-4T","Gadus morhua","Atlantic cod",2014,62862.61967,986990.6002,0.063691204,0.0425061001992109,0.0426639551707055,41953.1213491001,114,0.00271731867222426,0.0764294448,2455948.45028966,62862.6196634206
"COD4VsW","Atlantic cod Eastern Scotian Shelf","Canada","Canada East Coast","Scotian Shelf","Eastern Scotian Shelf","Canada-DFO-4VsW","Gadus morhua","Atlantic cod",2002,45295.28305,139480.9186,0.324741789,0.0621408540376934,0.0235263839111264,8667.46340544417,83,0.00957604273793258,0.3896901468,347073.159370752,45295.2830375274
"COD5Zjm","Atlantic cod NAFO 5Zjm","multinational","Canada East Coast","Northeast U.S. Continental Shelf","NAFO 5Zjm","multinational-TRAC-5Zjm","Gadus morhua","Atlantic cod",2014,5965.814161,66418.43066,0.089821667,NA,0.363636363636364,14018.6390172851,574,0.0409454868830172,0.1077860004,165270.309379891,5965.81416140511
"CODBA2224","Atlantic cod Western Baltic","multinational","European Union","Baltic Sea","Western Baltic","multinational-ICES-22-24","Gadus morhua","Atlantic cod",2014,23000,82124.78896,0.335557305,0.390625,3.68846153846154,19300,11500,0.595854922279793,0.402668766,204352.754864947,27557.5728571114
"CODBA2532","Atlantic cod Eastern Baltic","multinational","European Union","Baltic Sea","Eastern Baltic","multinational-ICES-25-32","Gadus morhua","Atlantic cod",2012,323632.1781,1517839.736,0.213218939,1.74603174603175,1.24333333333333,233000,67000,0.28755364806867,0.2558627268,3776870.97188352,323632.17808196
"CODGB","Atlantic cod Georges Bank","USA","US East Coast","Northeast U.S. Continental Shelf","Georges Bank","USA-NMFS-5Z","Gadus morhua","Atlantic cod",2011,28774,290715.3611,0.098976538,0.119012517758061,1.28333333333333,34598.7670728405,4530,0.130929520998914,0.1187718456,723392.847332352,28773.9999850979
"CODGOM","Atlantic cod Gulf of Maine","USA","US East Coast","Northeast U.S. Continental Shelf","Gulf of Maine","USA-NMFS-5Y","Gadus morhua","Atlantic cod",2014,10043,96571.60187,0.103995376,0.0430180370903548,4.98395721925134,4154.32075109949,1470,0.353848459970489,0.1247944512,240301.048365158,10043.000047393
"CODVIa","Atlantic cod West of Scotland","multinational","European Union","Celtic-Biscay Shelf","West of Scotland","multinational-ICES-VIa","Gadus morhua","Atlantic cod",2014,10789.51979,40611.81776,0.277119003,0.115,4.49700598802395,3540,1670,0.471751412429379,0.3325428036,101055.198368563,11254.3064476689
"COWCODSCAL","Cowcod Southern California","USA","US West Coast","California Current","Southern California","USA-NMFS-SCAL","Sebastes levis","Cowcod",2014,69,1254.545455,0.055,0.861685214626391,0.0181818181818182,1080,1.5,0.00138888888888889,0.066,3121.7105465856,69.000000025
"CPANDMEDGSA15-16","Common pandora Malta Island and South of Sicily (GSA 15, 16)","multinational","Mediterranean-Black Sea","Mediterranean Sea","Malta Island and South of Sicily (GSA 15, 16)","multinational-GFCM-GSA15-16","Pagellus erythrinus","Common pandora",2011,174.5728493,1191.974717,0.146456839,1.0103349969645,2.4,1204.29377236703,273,0.226688874645113,0.1757482068,2966.01452780544,174.57284921974
"CPRROCKPCOAST","Copper rockfish Pacific Coast","USA","US West Coast","California Current","Pacific Coast","USA-NMFS-PCOAST","Sebastes caurinus","Copper rockfish",2012,196.97,2238.295455,0.088,1.45199776615729,0.332954545454545,3250,95.1,0.0292615384615385,0.1056,5569.5953465856,196.97000004
"CRLOBSTERSA12","West coast rock lobster South Africa Areas 1-2","South Africa","South Africa","Benguela Current","South Africa Areas 1-2","South Africa-DETMCM-1-2","Jasus lalandii","West coast rock lobster",2014,1250,26595.74468,0.047,0.0233496,0.78936170212766,621,23,0.037037037037037,0.0564,66178.7234021376,1249.99999996
"CRLOBSTERSA34","West coast rock lobster South Africa Areas 3-4","South Africa","South Africa","Benguela Current","South Africa Areas 3-4","South Africa-DETMCM-3-4","Jasus lalandii","West coast rock lobster",2014,3870,60468.75,0.064,0.0803720930232558,0.8421875,4860,262,0.0539094650205761,0.0768,150465.6,3870
"CRLOBSTERSA56","West coast rock lobster South Africa Areas 5-6","South Africa","South Africa","Benguela Current","South Africa Areas 5-6","South Africa-DETMCM-5-6","Jasus lalandii","West coast rock lobster",2014,8680,94347.82609,0.092,0.0380506912442396,0.623913043478261,3590,206,0.0573816155988858,0.1104,234767.582616269,8680.00000028
"CRLOBSTERSA7","West coast rock lobster South Africa Area 7","South Africa","South Africa","Benguela Current","South Africa Area 7","South Africa-DETMCM-7","Jasus lalandii","West coast rock lobster",2014,7050,71212.12121,0.099,0.0401617021276596,0.454545454545455,2860,129,0.0451048951048951,0.1188,177198.545449267,7049.99999979
"CRLOBSTERSA8","West coast rock lobster South Africa Area 8","South Africa","South Africa","Benguela Current","South Africa Area 8","South Africa-DETMCM-8","Jasus lalandii","West coast rock lobster",2014,6800,68000,0.1,0.130294117647059,2.51,8860,2220,0.250564334085779,0.12,169205.76,6800
"CROCKPCOAST","Canary rockfish Pacific Coast","USA","US West Coast","California Current","Pacific Coast","USA-NMFS-PCOAST","Sebastes pinniger","Canary rockfish",2014,1226,33011.04241,0.046882978,1.364971298892,0.0512,34800,41.6,0.00119540229885057,0.0562595736,82142.0370496512,1547.6559750651
"CROCKWCVANISOGQCI","Canary rockfish West Coast of Vancouver Island and Strait of Georgia and Queen Charlotte Islands","Canada","Canada West Coast","Gulf of Alaska","West Coast of Vancouver Island and Strait of Georgia and Queen Charlotte Islands","Canada-DFO-WCVANI-SOG-QCI","Sebastes pinniger","Canary rockfish",2009,713.7922747,5850.75635,0.122,1.37323943661972,0.737704918032787,8890,800,0.0899887514060742,0.1464,14558.554040832,713.7922747
"CSARDCSCH","Chilean sardine Central-Southern Chile","Chile","South America","Humboldt Current","Central-Southern Chile","Chile-SUBPESCA-CH-CS","Strangomera bentincki","Chilean sardine",2014,501516.0048,1250445.315,0.401069922,1.14,0.83,2360000,533000,0.225847457627119,0.4812839064,3111508.0862208,501516.004952315
"CTRACSA","Cape horse mackerel South Africa South coast","South Africa","South Africa","Agulhas Current","South Africa South coast","South Africa-DETMCM-SASC","Trachurus capensis","Cape horse mackerel",2012,72924.09,307654.14,0.24,3.03,0.170833333333333,717000,29700,0.0414225941422594,0.288,765541.9496448,73836.9936
"DEEPFLATHEADSE","Deepwater flathead Southeast Australia","Australia","Australia","Southeast Australian Shelf","Southeast Australia","Australia-AFMA-SE","Platycephalus conatus","Deepwater flathead",2014,1200.123574,6066.346286,0.197833015,1.68387036240856,0.329412453455078,10300,567,0.0550485436893204,0.237399618,15095.0107903795,1200.12357579343
"DKROCKPCOAST","Darkblotched rockfish Pacific Coast","USA","US West Coast","California Current","Pacific Coast","USA-NMFS-PCOAST","Sebastes crameri","Darkblotched rockfish",2014,674,17789.01087,0.032969809,0.9296875,0.226,17000,104,0.00611764705882353,0.0395637708,44264.7515280384,586.500290682824
"DSOLEGA","Dover sole Gulf of Alaska","USA","US Alaska","Gulf of Alaska","Gulf of Alaska","USA-NMFS-GA","Microstomus pacificus","Dover sole",2014,3112.016785,51666.70264,0.060232541,2.44270964492571,NA,125000,324,0.002592,0.0722790492,128563.289513165,3112.01678509861
"DSOLEPCOAST","Dover sole Pacific Coast","USA","US West Coast","California Current","Pacific Coast","USA-NMFS-PCOAST","Microstomus pacificus","Dover sole",2010,34757,265320.6107,0.131,3.47908180212941,0.129770992366412,696000,11300,0.016235632183908,0.1572,660202.582017024,34757.0000017
"DUSROCKGA","Dusky rockfish Gulf of Alaska","USA","US Alaska","Gulf of Alaska","Gulf of Alaska","USA-NMFS-GA","Sebastes variabilis","Dusky rockfish",2014,3740.299445,54206.5415,0.069000887,1.71073996752494,NA,67400,3030,0.0449554896142433,0.0828010644,134883.22134528,3740.29944470231
"ESOLEHS","English sole Hecate Strait","Canada","Canada West Coast","Gulf of Alaska","Hecate Strait","Canada-DFO-HS","Parophrys vetulus","English sole",2001,905.2189392,2677.10944,0.33813296,1.27376189745907,0.360804814768723,3410,414,0.121407624633431,0.405759552,6661.5049617408,905.218939191142
"ESOLEPCOAST","English sole Pacific Coast","USA","US West Coast","California Current","Pacific Coast","USA-NMFS-PCOAST","Parophrys vetulus","English sole",2006,3875,15748.14815,0.27,6.46644192460926,0.271428571428571,71800,1080,0.015041782729805,0.324,39186.432004608,4252.0000005
"EULAPCOASTCCDU","Eulachon Pacific Coast of Canada Central Coast Designatable Unit","Canada","Canada West Coast","Gulf of Alaska","Pacific Coast of Canada Central Coast Designatable Unit","Canada-DFO-PCOASTCCDU","Thaleichthys pacificus","Eulachon",2007,25.68712928,48.39962824,0.530729888,1.24587733816858,0.131237646246017,60.3,4.2,0.0696517412935323,0.6368758656,120.433762942157,25.6871292750568
"EULAPCOASTNSDU","Eulachon Pacific Coast of Canada Nass / Skeena Designatable Unit","Canada","Canada West Coast","Gulf of Alaska","Pacific Coast of Canada Nass / Skeena Designatable Unit","Canada-DFO-PCOASTNSDU","Thaleichthys pacificus","Eulachon",2009,26.73288203,32.03447397,0.834503543,3.05920428385296,0.000855940900763454,98,0.07,0.000714285714285714,1.0014042516,79.7120222690304,26.7328820261063
"FLSOLEBSAI","Flathead sole Bering Sea and Aleutian Islands","USA","US Alaska","East Bering Sea","Bering Sea and Aleutian Islands","USA-NMFS-BSAI","Hippoglossoides elassodon","Flathead sole",2014,60864.94096,398588.93,0.152701032,2.23769714111813,NA,739000,15800,0.0213802435723951,0.1832412384,991816.8062976,60864.9409547758
"FLSOLEGA","Flathead sole Gulf of Alaska","USA","US Alaska","Gulf of Alaska","Gulf of Alaska","USA-NMFS-GA","Hippoglossoides elassodon","Flathead sole",2014,8873.396975,110462.4879,0.080329505,2.53270506541013,NA,241000,2560,0.0106224066390041,0.096395406,274866.017891328,8873.39697407549
"GAGGM","Gag Gulf of Mexico","USA","US Southeast and Gulf","Gulf of Mexico","Gulf of Mexico","USA-NMFS-GM","Mycteroperca microlepis","Gag",2012,1027.192242,51740.00723,0.019852959,0.428187822048044,0.768518518518519,22154.4410106019,237,0.0106976294227683,0.0238235508,128745.694790554,1027.19224219689
"GAGSATLC","Gag Southern Atlantic coast","USA","US Southeast and Gulf","Southeast U.S. Continental Shelf","Southern Atlantic coast","USA-NMFS-SATLC","Mycteroperca microlepis","Gag",2012,425.5603897,3334.477092,0.127624325,0.971774853960801,NA,2620,245,0.0935114503816794,0.15314919,8297.24603756544,425.560388094463
"GEMFISHNZ","Common gemfish New Zealand","New Zealand","New Zealand","New Zealand Shelf","New Zealand","New Zealand-MFish-NZ","Rexea solandri","Common gemfish",2006,1432.042733,4564.599127,0.313728039,1.63613820697257,0.163836168943765,8020,412,0.0513715710723192,0.3764736468,11358.1832996966,1432.04273293482
"GEMFISHSE","Common gemfish Southeast Australia","Australia","Australia","Southeast Australian Shelf","Southeast Australia","Australia-AFMA-SE","Rexea solandri","Common gemfish",2007,1996.304542,16345.3701,0.122132722,0.249160913980859,0.221527060682164,3770,102,0.0270557029177719,0.1465592664,40672.511327232,1996.30454241041
"GHAL23KLMNO","Greenland halibut Labrador Shelf - Grand Banks","multinational","Canada East Coast","Labrador - Newfoundland","Labrador Shelf - Grand Banks","multinational-NAFO-23KLMNO","Reinhardtius hippoglossoides","Greenland halibut",2006,35149.15235,200215.4105,0.175556678,0.382088470657457,1.78859615924152,76500,6380,0.0833986928104575,0.2106680136,498200.01025536,35149.1523517863
"GHAL4RST","Greenland halibut Gulf of St. Lawrence","Canada","Canada East Coast","Labrador - Newfoundland","Gulf of St. Lawrence","Canada-DFO-4RST","Reinhardtius hippoglossoides","Greenland halibut",2010,4672.097373,124487.5553,0.037530638,0.256250513741111,3.29928980718788,31900,3950,0.123824451410658,0.0450367656,309764.873604096,4672.09737346928
"GHALNEAR","Greenland halibut North-East Arctic","multinational","Europe non EU","Barents Sea","North-East Arctic","multinational-ICES-I-II","Reinhardtius hippoglossoides","Greenland halibut",2014,38270.74573,368238.1398,0.103929337,1.85749363271143,0.312712473091212,684000,23000,0.033625730994152,0.1247152044,916294.328027136,38270.7457275273
"GOPHERSPCOAST","Gopher rockfish Southern Pacific Coast","USA","US West Coast","California Current","Southern Pacific Coast","USA-NMFS-SPCOAST","Sebastes carnatus","Gopher rockfish",2004,101,1010,0.1,2.6039603960396,0.191,2630,50.3,0.0191254752851711,0.12,2513.2032,101
"GPOCTOGA","Giant Pacific octopus Gulf of Alaska","USA","US Alaska","Gulf of Alaska","Gulf of Alaska","USA-NMFS-GA","Enteroctopus dofleini","Giant pacific octopus",2014,717.062635,2576.15908,0.278345635,2.37174794345386,0.764394805209749,6110,1300,0.212765957446809,0.334014762,6410.3081619456,717.062634983616
"GRAMBERGM","Greater amberjack Gulf of Mexico","USA","US Southeast and Gulf","Gulf of Mexico","Gulf of Mexico","USA-NMFS-GM","Seriola dumerili","Greater amberjack",2012,1632.93264,7422.421091,0.22,0.473345413972856,1.15909090909091,3860,983,0.254663212435233,0.264,18469.3588491571,1632.93264002
"GRAMBERSATLC","Greater amberjack Southern Atlantic coast","USA","US Southeast and Gulf","Southeast U.S. Continental Shelf","Southern Atlantic coast","USA-NMFS-SATLC","Seriola dumerili","Greater amberjack",2006,909.45,5491,0.165625569,1.0979381443299,0.298662775738561,5620,278,0.0494661921708185,0.1987506828,13663.36512,909.449999379
"GRNSTROCKPCOAST","Greenstriped rockfish Pacific Coast","USA","US West Coast","California Current","Pacific Coast","USA-NMFS-PCOAST","Sebastes elongatus","Greenstriped rockfish",2009,803,11774.19355,0.0682,2.81510544384502,0.00439882697947214,29200,9.2,0.000315068493150685,0.08184,29297.961294336,803.00000011
"GRSHRIMPMEDGSA10","Giant red shrimp South Tyrrhenian Sea","multinational","Mediterranean-Black Sea","Mediterranean Sea","South Tyrrhenian Sea","multinational-GFCM-GSA10","Aristaeomorpha foliacea","Giant red shrimp",2014,408.2609963,657.9571468,0.620497852,1.01225610663168,1.39692307692308,666.021139744292,454,0.681660044866302,0.7445974224,1637.20792752538,408.260996297449
"GRSHRIMPMEDGSA18-19","Giant red shrimp South Adriatic Sea and West Ionian Sea (GSA 18,19)","multinational","Mediterranean-Black Sea","Mediterranean Sea","South Adriatic Sea and West Ionian Sea (GSA 18,19)","multinational-GFCM-GSA18-19","Aristaeomorpha foliacea","Giant red shrimp",2014,860.4010046,1028.191445,0.836810118,1.8189150352736,1.10238095238095,1870.1928787884,328,0.175382979862748,1.0041721416,2558.4693364224,860.401004417041
"GRSHRIMPMEDGSA9","Giant red shrimp Ligurian and North Tyrrhenian Sea","multinational","Mediterranean-Black Sea","Mediterranean Sea","Ligurian and North Tyrrhenian Sea","multinational-GFCM-GSA9","Aristaeomorpha foliacea","Giant red shrimp",2014,66.16636688,169.3210906,0.390774514,1.33482702206354,0.26078431372549,226.014367122276,16.8,0.0743315578292907,0.4689294168,421.325056161792,66.166366889165
"GRSPROCKNCAL","Greenspotted rockfish Northern Pacific Coast","USA","US West Coast","California Current","Northern Pacific Coast","USA-NMFS-NPCOAST","Sebastes chlorostictus","Greenspotted rockfish",2010,58.8,840,0.07,1.21641791044776,0,1190,0.4,0.000336134453781513,0.084,2090.1888,58.8
"GRSPROCKSCAL","Greenspotted rockfish Southern Pacific Coast","USA","US West Coast","California Current","Southern Pacific Coast","USA-NMFS-SPCOAST","Sebastes chlorostictus","Greenspotted rockfish",2010,55.9,931.6666667,0.06,1.59444444444444,0.116666666666667,1920,11.3,0.00588541666666667,0.072,2318.28480008294,55.900000002
"GSTRGZRSTA7","Giant stargazer NZ Area STA7","New Zealand","New Zealand","New Zealand Shelf","NZ Area STA7","New Zealand-MFish-STA7","Kathetostoma giganteum","Giant stargazer",2007,608,5906.399978,0.102939185,1.43,1.09773552219206,3873.53906166393,958,0.247319049775757,0.123527022,14697.013193257,608.000000019338
"HAD3LNO","Haddock Grand Banks","multinational","Canada East Coast","Labrador - Newfoundland","Grand Banks","multinational-NAFO-3LNO","Melanogrammus aeglefinus","Haddock",2013,2925.90428,7630.688687,0.383439084,2.14921623364609,0.00333948170207409,16400,224,0.0136585365853659,0.4601269008,18987.5952736358,2925.90428043244
"HAD4X5Y","Haddock Western Scotian Shelf, Bay of Fundy and Gulf of Maine","Canada","Canada East Coast","Northeast U.S. Continental Shelf","Western Scotian Shelf, Bay of Fundy and Gulf of Maine","Canada-DFO-4X5Y","Melanogrammus aeglefinus","Haddock",2013,17344.10318,47426.99598,0.36570107,NA,0.262987645587086,36600,3520,0.0961748633879781,0.438841284,118013.542636954,17344.1031767717
"HAD5Y","Haddock Gulf of Maine","USA","US East Coast","Northeast U.S. Continental Shelf","Gulf of Maine","USA-NMFS-5Y","Melanogrammus aeglefinus","Haddock",2014,1083,8262.270253,0.131077775,2.22799048237076,0.549145299145299,18408.2594866007,1020,0.0554099099234479,0.15729333,20559.172315945,1083.00000121193
"HADFAPL","Haddock Faroe Plateau","multinational","Europe non EU","Faroe Plateau","Faroe Plateau","multinational-ICES-Vb1","Melanogrammus aeglefinus","Haddock",2014,35000,97711.61395,0.454270179,0.481547957798888,2.15151515151515,14200,3250,0.22887323943662,0.5451242148,243137.763224064,44387.4723594454
"HADGB","Haddock Georges Bank","USA","US East Coast","Northeast U.S. Continental Shelf","Georges Bank","USA-NMFS-GB","Melanogrammus aeglefinus","Haddock",2014,24900,171011.3071,0.145604407,1.38504155124654,0.615384615384615,236857.766087317,18600,0.0785281407794041,0.1747252884,425530.855683072,24899.9999605904
"HADICE","Haddock Iceland Grounds","multinational","Europe non EU","Iceland Shelf and Sea","Iceland Grounds","multinational-ICES-Va","Melanogrammus aeglefinus","Haddock",2014,84928.19168,362843.3914,0.234062942,1.67777777777778,0.6725,128000,33900,0.26484375,0.2808755304,902870.467688448,84928.1916763415
"HADNEAR","Haddock North-East Arctic","multinational","Europe non EU","Barents Sea","North-East Arctic","multinational-ICES-I-II","Melanogrammus aeglefinus","Haddock",2014,215805.8509,905047.1418,0.219136087,8.45,0.428571428571429,1030000,178000,0.172815533980583,0.2629633044,2252046.90388378,198328.489204586
"HADVIIb-k","Haddock ICES 7b-k","multinational","European Union","Celtic-Biscay Shelf","ICES 7b-k","multinational-ICES-VIIb-k","Melanogrammus aeglefinus","Haddock",2014,20136.57983,65742.14795,0.250463892,2.49,1.325,60600,13000,0.214521452145215,0.3005566704,163587.501586944,16466.0342439968
"HAKEMEDGSA1-7","Hake Geographical Sub-Areas 1-7","multinational","Mediterranean-Black Sea","Mediterranean Sea","Geographical Sub-Areas 1-7","multinational-GFCM-GSA1-7","Merluccius merluccius","Hake",2014,7562.576858,12481.92837,0.605882091,1.39252419854916,2.87179487179487,17381.3872950827,4720,0.271554848866138,0.7270585092,31059.0320016384,7562.57686052782
"HAKEMEDGSA19","Hake Western Ionian Sea","multinational","Mediterranean-Black Sea","Mediterranean Sea","Western Ionian Sea","multinational-GFCM-GSA19","Merluccius merluccius","Hake",2014,1092.765948,1393.352378,0.784271061,1.79754263974402,4.86111111111111,2504.61031173016,759,0.303041154324598,0.9411252732,3467.10658922496,1092.76594784093
"HAKEMEDGSA7","Hake Gulf of Lions","multinational","Mediterranean-Black Sea","Mediterranean Sea","Gulf of Lions","multinational-GFCM-GSA7","Merluccius merluccius","Hake",2012,2271.695574,4567.285735,0.497384159,0.265026476406115,16.7272727272727,1210.45164508259,1110,0.91701308723015,0.5968609908,11364.8684401152,2271.69557421567
"HAKEMEDGSA9-11","Hake Geographical Sub-Areas 9-11","multinational","Mediterranean-Black Sea","Mediterranean Sea","Geographical Sub-Areas 9-11","multinational-GFCM-GSA9-11","Merluccius merluccius","Hake",2014,3383.789015,5789.623904,0.584457483,1.07237354612878,5.25,6208.63951678236,3070,0.49447225784354,0.7013489796,14406.4369528013,3383.78901444847
"HAKENRTN","Hake ICES 3a-4-6-7-8abd","multinational","European Union","Celtic-Biscay Shelf","ICES 3a-4-6-7-8abd","multinational-ICES-IIIa-IV-VI-VII-VIIIabd","Merluccius merluccius","Hake",2014,106752.4857,271388.2829,0.297775488,6.02222222222222,0.821428571428571,339000,97000,0.286135693215339,0.3573305856,675300.892105728,80812.7783780295
"HAKESOTH","Hake ICES 8c-9a","multinational","European Union","Iberian Coastal","ICES 8c-9a","multinational-ICES-VIIIc-IXa","Merluccius merluccius","Hake",2014,17849.16345,39990.16642,0.356942736,1.54954954954955,3.136,21200,14500,0.683962264150943,0.4283312832,99508.3309062144,14274.1994150501
"HERR4RFA","Herring NAFO division 4R (Fall spawners)","Canada","Canada East Coast","Labrador - Newfoundland","NAFO division 4R (Fall spawners)","Canada-DFO-4RFS","Clupea harengus","Herring",2002,8808.330395,46777.94345,0.188300933,1.51312964868069,0.337546101234243,70781.0931326055,4498.863677,0.0635602457929205,0.2259611196,116398.492245504,8808.33039545624
"HERR4RSP","Herring NAFO division 4R (Spring spawners)","Canada","Canada East Coast","Labrador - Newfoundland","NAFO division 4R (Spring spawners)","Canada-DFO-4RSS","Clupea harengus","Herring",2002,12170.53205,93760.80872,0.129804043,0.822305193956309,0.792004718824282,77100,7926.297464,0.10280541457847,0.1557648516,233306.89555415,12170.5320468057
"HERR4TFA","Herring Southern Gulf of St. Lawrence (Fall spawners)","Canada","Canada East Coast","Scotian Shelf","Southern Gulf of St. Lawrence (Fall spawners)","Canada-DFO-4TFS","Clupea harengus","Herring",2013,69893.64993,219641.1285,0.318217496,0.9062881639875,0.543068251268441,199058.1550942,34400,0.172813819075742,0.3818609952,546537.41286912,69893.6499298842
"HERR4TSP","Herring Southern Gulf of St. Lawrence (Spring spawners)","Canada","Canada East Coast","Scotian Shelf","Southern Gulf of St. Lawrence (Spring spawners)","Canada-DFO-4TSS","Clupea harengus","Herring",2013,20399.80111,79840.9268,0.255505565,0.377354109133747,0.22083805044873,30128.3018056329,1700,0.0564253508534013,0.306606678,198669.774974976,20399.8011121576
"HERR4VWX","Herring Scotian Shelf and Bay of Fundy","Canada","Canada East Coast","Scotian Shelf","Scotian Shelf and Bay of Fundy","Canada-DFO-4VWX","Clupea harengus","Herring",2012,131890.0602,335559.2176,0.393045559,1.97846096679375,0.256967666183451,663890.813980867,47600,0.0716985368641835,0.4716546708,834978.712338432,131890.060259195
"HERRCC","Pacific herring Central Coast","Canada","Canada West Coast","Gulf of Alaska","Central Coast","Canada-DFO-CC","Clupea pallasii pallasii","Pacific herring",2014,12613.79719,43043.09348,0.261008875,0.802929796281327,0.0554285705479931,34560.5822790857,500,0.0144673488415898,0.31321065,107104.990368154,11234.6294057346
"HERRIsum","Herring Iceland (Summer spawners)","multinational","Europe non EU","Iceland Shelf and Sea","Iceland (Summer spawners)","multinational-ICES-VaSS","Clupea harengus","Herring",2014,107089.3369,538483.6977,0.239639884,1.54212454212454,1.25909090909091,675031.119594798,95000,0.140734252454947,0.2875678608,1339919.75466086,129042.170852719
"HERRNWATLC","Herring Northwestern Atlantic Coast","USA","US East Coast","Northeast U.S. Continental Shelf","Northwestern Atlantic Coast","USA-NMFS-NWATLC","Clupea harengus","Herring",2014,77247,438240.2582,0.176266325,2.00228189429366,0.666666666666667,877480.534405978,95300,0.108606397821138,0.21151959,1090481.99928422,77246.9997799651
"HERRPWS","Pacific herring Prince William Sound","USA","US Alaska","Gulf of Alaska","Prince William Sound","USA-AKSTATE-PWS","Clupea pallasii pallasii","Pacific herring",2006,7111.250341,44442.36366,0.160010624,0.213760007741226,0,9500,0,0,0.1920127488,110586.822342451,7111.25034127152
"HERRRIGA","Herring Gulf of Riga East of Gotland","multinational","European Union","Baltic Sea","Gulf of Riga East of Gotland","multinational-ICES-28","Clupea harengus","Herring",2014,28735.84159,114210.9385,0.26387087,2.15,0.81875,157000,26300,0.167515923566879,0.316645044,284193.36248832,30136.9397055115
"HERRSOG","Pacific herring Strait of Georgia","Canada","Canada West Coast","Gulf of Alaska","Strait of Georgia","Canada-DFO-SOG","Clupea pallasii pallasii","Pacific herring",2014,29941.91169,107940.1984,0.303285479,1.39051239942549,0.452182871296819,150092.184238724,20583.717,0.13714049871685,0.3639425748,268589.754482688,32736.694775099
"HERRTOG","Pacific herring Togiak District","USA","US Alaska","East Bering Sea","Togiak District","USA-AKSTATE-TOG","Clupea pallasii pallasii","Pacific herring",2010,42397.48641,67908.18204,0.624335465,1.95852688151273,0.288306543662388,133000,23900,0.179699248120301,0.749202558,168977.287533773,42397.486411248
"HERRVIa","Herring West of Scotland","multinational","European Union","Celtic-Biscay Shelf","West of Scotland","multinational-ICES-VIa","Clupea harengus","Herring",2013,91953.12976,594800.4692,0.154594918,1.05066666666667,1.34,114000,23000,0.201754385964912,0.1855139016,1480053.90351974,91953.1297623355
"HMACKIIa-IVa-Vb-VIa-VII-VIII","Horse mackerel ICES 2a-4a-5b-6a-7-8","multinational","European Union","North Sea","ICES 2a-4a-5b-6a-7-8","multinational-ICES-IIa-IVa-Vb-VIa-VII-VIII","Trachurus trachurus","Horse mackerel",2014,277614.1016,2482583.665,0.111824671,1.05201033800357,1.0462962962963,1080000,136000,0.125925925925926,0.1341896052,6177462.5852928,277614.101568599
